n,kappa0,C_gamma,error_rate,power
500,0.1,0.01,0.964,1.0
500,0.2,0.01,0.85,1.0
500,0.3,0.01,0.652,1.0
500,0.4,0.01,0.464,1.0
500,0.5,0.01,0.219,1.0
500,0.6,0.01,0.079,1.0
500,0.7,0.01,0.017,1.0
500,0.8,0.01,0.004,1.0
500,0.9,0.01,0.001,1.0
500,1.0,0.01,0.0,1.0
500,1.1,0.01,0.0,1.0
500,1.2,0.01,0.0,1.0
500,1.3,0.01,0.0,1.0
500,1.4,0.01,0.0,1.0
500,1.5,0.01,0.0,1.0
500,1.6,0.01,0.0,1.0
500,1.7,0.01,0.0,0.999
500,1.8,0.01,0.0,0.993
500,1.9,0.01,0.0,0.928
500,2.0,0.01,0.0,0.81
500,2.1,0.01,0.0,0.595
500,2.2,0.01,0.0,0.318
500,2.3,0.01,0.0,0.114
500,2.4,0.01,0.0,0.023
500,2.5,0.01,0.0,0.005
500,2.6,0.01,0.0,0.0
500,2.7,0.01,0.0,0.0
500,2.8,0.01,0.0,0.0
500,2.9,0.01,0.0,0.0
500,3.0,0.01,0.0,0.0
500,3.1,0.01,0.0,0.0
500,3.2,0.01,0.0,0.0
500,3.3,0.01,0.0,0.0
500,3.4,0.01,0.0,0.0
500,3.5,0.01,0.0,0.0
500,0.1,0.03,0.957,1.0
500,0.2,0.03,0.858,1.0
500,0.3,0.03,0.679,1.0
500,0.4,0.03,0.458,1.0
500,0.5,0.03,0.237,1.0
500,0.6,0.03,0.092,1.0
500,0.7,0.03,0.021,1.0
500,0.8,0.03,0.0,1.0
500,0.9,0.03,0.0,1.0
500,1.0,0.03,0.0,1.0
500,1.1,0.03,0.0,1.0
500,1.2,0.03,0.0,1.0
500,1.3,0.03,0.0,1.0
500,1.4,0.03,0.0,1.0
500,1.5,0.03,0.0,1.0
500,1.6,0.03,0.0,1.0
500,1.7,0.03,0.0,1.0
500,1.8,0.03,0.0,1.0
500,1.9,0.03,0.0,1.0
500,2.0,0.03,0.0,0.999
500,2.1,0.03,0.0,0.998
500,2.2,0.03,0.0,0.972
500,2.3,0.03,0.0,0.896
500,2.4,0.03,0.0,0.695
500,2.5,0.03,0.0,0.407
500,2.6,0.03,0.0,0.182
500,2.7,0.03,0.0,0.076
500,2.8,0.03,0.0,0.012
500,2.9,0.03,0.0,0.001
500,3.0,0.03,0.0,0.0
500,3.1,0.03,0.0,0.0
500,3.2,0.03,0.0,0.0
500,3.3,0.03,0.0,0.0
500,3.4,0.03,0.0,0.0
500,3.5,0.03,0.0,0.0
