"","row_label","mean_value","predict(mod)"
"1",0.4,623.3125,624.63330859942
"2",0.6,614.208556149733,613.319096981324
"3",0.8,610.668421052632,609.359122914991
"4",1,608.935483870968,607.526220632859
"5",1.2,607.604278074866,606.530570010467
"6",1.4,606.968586387435,605.930224087874
"7",1.6,606.571428571429,605.540576493883
"8",1.8,606.255434782609,605.273435386234
"9",2,605.9,605.08235092335
"10",2.2,605.403225806452,604.940970031065
"11",2.4,605.183246073298,604.833438267752
"12",2.6,605.118918918919,604.749753270577
"13",2.8,605.125,604.683351787104
"14",3,605.041884816754,604.629782458627
"15",3.2,605.005128205128,604.585939888606
"16",3.4,604.951871657754,604.549604239271
"17",3.6,604.723756906077,604.519154611694
"18",3.8,604.434554973822,604.493385093081
"19",4,604.295698924731,604.471383495973
"20",4.2,604.151041666667,604.452449509184
"21",4.4,604.11170212766,604.436038272902
"22",4.6,604.085106382979,604.421720737226
"23",4.8,604.046153846154,604.409155332074
"24",5,604.032432432432,604.398067404688
"25",5.2,604.005376344086,604.38823408278
"26",5.4,604.016129032258,604.379472986779
"27",5.6,604.010582010582,604.371633711912
"28",5.8,604.005405405405,604.364591329713
"29",6,604.010416666667,604.358241379792
"30",6.2,604.021505376344,604.352495973684
"31",6.4,604.005291005291,604.347280737287
"32",6.6,604.005434782609,604.342532391761
"33",6.8,603.994565217391,604.338196824953
"34",7,603.978723404255,604.334227542889
"35",7.2,603.994680851064,604.330584418059
"36",7.4,604.005347593583,604.327232671252
"37",7.6,603.984126984127,604.324142038406
"38",7.8,603.989361702128,604.32128608504
"39",8,604.005319148936,604.318641639129
"40",8.2,603.972677595628,604.316188319596
"41",8.4,604.00518134715,604.313908142432
"42",8.6,603.994736842105,604.311785190174
"43",8.8,603.989583333333,604.309805333361
"44",9,603.984126984127,604.307955994823
"45",9.2,603.989247311828,604.306225949442
"46",9.4,603.994680851064,604.304605153416
"47",9.6,603.978378378378,604.303084598154
"48",9.8,603.989637305699,604.301656184828
"49",10,603.978494623656,604.300312616308
